TERRITORIO;TIPOLOGÍA PENAL;2015;2016; Var. % 16/15
ANDALUCÍA;1.-DELITOS Y FALTAS (EU);258032;252684;-2,1
ANDALUCÍA;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);48;49;2,1
ANDALUCÍA;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);5423;5686;4,8
ANDALUCÍA;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);13571;13945;2,8
ANDALUCÍA;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);6669;6600;-1,0
ANDALUCÍA;6.-TRÁFICO DE DROGAS (EU);2469;2444;-1,0
ANDALUCÍA;7.-DAÑOS;25514;25882;1,4
ANDALUCÍA;8.-HURTOS;84504;84445;-0,1
Provincia de Almería;1.-DELITOS Y FALTAS (EU);23562;23277;-1,2
Provincia de Almería;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);4;5;25,0
Provincia de Almería;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);511;492;-3,7
Provincia de Almería;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);1974;2067;4,7
Provincia de Almería;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);505;497;-1,6
Provincia de Almería;6.-TRÁFICO DE DROGAS (EU);187;206;10,2
Provincia de Almería;7.-DAÑOS;2732;2990;9,4
Provincia de Almería;8.-HURTOS;6506;6165;-5,2
Municipio de Almería;1.-DELITOS Y FALTAS (EU);7055;6544;-7,2
Municipio de Almería;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0,0
Municipio de Almería;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);236;170;-28,0
Municipio de Almería;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);424;349;-17,7
Municipio de Almería;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);206;225;9,2
Municipio de Almería;6.-TRÁFICO DE DROGAS (EU);50;61;22,0
Municipio de Almería;7.-DAÑOS;801;859;7,2
Municipio de Almería;8.-HURTOS;2238;2020;-9,7
Municipio de Roquetas de Mar;1.-DELITOS Y FALTAS (EU);4454;4690;5,3
Municipio de Roquetas de Mar;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;0;0,0
Municipio de Roquetas de Mar;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);103;133;29,1
Municipio de Roquetas de Mar;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);406;421;3,7
Municipio de Roquetas de Mar;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);73;81;11,0
Municipio de Roquetas de Mar;6.-TRÁFICO DE DROGAS (EU);37;32;-13,5
Municipio de Roquetas de Mar;7.-DAÑOS;454;584;28,6
Municipio de Roquetas de Mar;8.-HURTOS;1401;1390;-0,8
Municipio de Ejido (El);1.-DELITOS Y FALTAS (EU);2901;2900;0,0
Municipio de Ejido (El);2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);1;1;0,0
Municipio de Ejido (El);3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);66;69;4,5
Municipio de Ejido (El);4.-ROBOS CON FUERZA EN DOMICILIOS (EU);162;241;48,8
Municipio de Ejido (El);5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);46;41;-10,9
Municipio de Ejido (El);6.-TRÁFICO DE DROGAS (EU);12;18;50,0
Municipio de Ejido (El);7.-DAÑOS;368;395;7,3
Municipio de Ejido (El);8.-HURTOS;715;685;-4,2
Provincia de Cádiz;1.-DELITOS Y FALTAS (EU);41455;38356;-7,5
Provincia de Cádiz;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);8;9;12,5
Provincia de Cádiz;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);720;678;-5,8
Provincia de Cádiz;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);1829;1614;-11,8
Provincia de Cádiz;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);1361;1282;-5,8
Provincia de Cádiz;6.-TRÁFICO DE DROGAS (EU);760;569;-25,1
Provincia de Cádiz;7.-DAÑOS;4441;4228;-4,8
Provincia de Cádiz;8.-HURTOS;13350;12708;-4,8
Municipio de Algeciras;1.-DELITOS Y FALTAS (EU);4429;3672;-17,1
Municipio de Algeciras;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);1;3;200,0
Municipio de Algeciras;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);74;76;2,7
Municipio de Algeciras;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);162;136;-16,0
Municipio de Algeciras;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);144;102;-29,2
Municipio de Algeciras;6.-TRÁFICO DE DROGAS (EU);373;244;-34,6
Municipio de Algeciras;7.-DAÑOS;430;326;-24,2
Municipio de Algeciras;8.-HURTOS;1093;908;-16,9
Municipio de Cádiz;1.-DELITOS Y FALTAS (EU);4703;4339;-7,7
Municipio de Cádiz;2.-HOMICIDIOS DOLOSOS Y ASESINATOS CONSUMADOS (EU);0;1;100,0
Municipio de Cádiz;3.-ROBO CON VIOLENCIA E INTIMIDACIÓN (EU);66;67;1,5
Municipio de Cádiz;4.-ROBOS CON FUERZA EN DOMICILIOS (EU);54;37;-31,5
Municipio de Cádiz;5.-SUSTRACCIÓN VEHÍCULOS A MOTOR (EU);202;232;14,9
Municipio de Cádiz;6.-TRÁFICO DE DROGAS (EU);61;32;-47,5
Municipio de Cádiz;7.-DAÑOS;376;367;-2,4
Municipio de Cádiz;8.-HURTOS;2000;1915;-4,3
Municipio de Chiclana de la Frontera;1.-DELITOS Y FALTAS (EU);2394;2614;9,2
