prov_code,type,2015,2016
1,1,9414,8947
1,2,1,2
1,3,144,148
1,4,380,274
1,5,68,77
1,6,26,30
1,7,922,944
1,8,3506,3568
2,1,9398,8779
2,2,2,1
2,3,158,167
2,4,561,516
2,5,138,140
2,6,71,62
2,7,955,870
2,8,3491,3134
3,1,71235,70289
3,2,23,11
3,3,1523,1618
3,4,6268,6775
3,5,1600,1550
3,6,479,568
3,7,7648,7366
3,8,25056,24495
4,1,23562,23277
4,2,4,5
4,3,511,492
4,4,1974,2067
4,5,505,497
4,6,187,206
4,7,2732,2990
4,8,6506,6165
5,1,3728,3630
5,2,1,0
5,3,41,33
5,4,352,327
5,5,29,30
5,6,18,17
5,7,649,632
5,8,794,698
6,1,14059,13776
6,2,0,3
6,3,175,160
6,4,730,682
6,5,218,243
6,6,108,96
6,7,1531,1605
6,8,4237,3982
8,1,238761,235302
8,2,25,32
8,3,14566,13176
8,4,12521,12149
8,5,5403,5069
8,6,841,991
8,7,20982,21095
8,8,102564,102958
9,1,8354,8334
9,2,0,2
9,3,120,147
9,4,345,310
9,5,84,121
9,6,34,58
9,7,1242,1239
9,8,2929,2733
10,1,6341,5972
10,2,1,1
10,3,45,61
10,4,269,280
10,5,62,66
10,6,45,66
10,7,912,793
10,8,1736,1566
11,1,41455,38356
11,2,8,9
11,3,720,678
11,4,1829,1614
11,5,1361,1282
11,6,760,569
11,7,4441,4228
11,8,13350,12708
12,1,19596,18752
12,2,2,1
12,3,347,395
12,4,2211,1848
12,5,285,220
12,6,105,92
12,7,2410,2158
12,8,5905,5980
13,1,10842,9581
13,2,4,0
13,3,127,118
13,4,561,516
13,5,94,130
13,6,73,86
13,7,1280,1018
13,8,2798,2566
14,1,19586,18218
14,2,2,0
14,3,382,392
14,4,875,904
14,5,290,323
14,6,94,140
14,7,1980,1849
14,8,6162,5897
15,1,24573,24595
15,2,3,7
15,3,335,369
15,4,1286,1248
15,5,309,371
15,6,83,75
15,7,3164,3085
15,8,7545,7288
16,1,4391,4424
16,2,3,0
16,3,62,60
16,4,313,302
16,5,47,77
16,6,11,10
16,7,629,676
16,8,1078,1016
17,1,31747,29000
17,2,0,2
17,3,615,612
17,4,2117,2279
17,5,454,375
17,6,345,347
17,7,3424,3109
17,8,10733,9574
18,1,24497,24279
18,2,5,4
18,3,542,527
18,4,1473,1684
18,5,625,652
18,6,379,395
18,7,2623,2604
18,8,7669,7718
19,1,6694,6584
19,2,1,6
19,3,120,170
19,4,603,551
19,5,183,232
19,6,23,23
19,7,1231,984
19,8,1521,1482
20,1,17820,16839
20,2,3,1
20,3,217,243
20,4,1330,1184
20,5,217,200
20,6,105,77
20,7,1450,1440
20,8,4604,4647
21,1,14894,15327
21,2,3,6
21,3,265,255
21,4,1243,1129
21,5,259,278
21,6,116,102
21,7,1125,1304
21,8,4293,4553
22,1,3873,3805
