year,prov_code,men,women
2018,2,195009.0,195357.0
2017,2,195681.0,195893.0
2016,2,196394.0,196564.0
2015,2,197389.0,197539.0
2014,2,198256.0,198428.0
2013,2,199828.0,199682.0
2012,2,201085.0,200505.0
2011,2,200830.0,200016.0
2010,2,200366.0,199081.0
2009,2,199799.0,198082.0
2008,2,198260.0,196261.0
2018,3,915455.0,930089.0
2017,3,914824.0,927748.0
2016,3,915629.0,926816.0
2015,3,916055.0,926119.0
2014,3,921458.0,929166.0
2013,3,923942.0,930302.0
2012,3,924452.0,928757.0
2011,3,920410.0,924028.0
2010,3,918948.0,921137.0
2009,3,918027.0,918107.0
2008,3,909620.0,907899.0
2018,4,354572.0,346600.0
2017,4,354122.0,345919.0
2016,4,352228.0,343958.0
2015,4,349380.0,341774.0
2014,4,348597.0,340291.0
2013,4,350948.0,340731.0
2012,4,350979.0,338341.0
2011,4,351257.0,335191.0
2010,4,348985.0,331499.0
2009,4,345568.0,327474.0
2008,4,338589.0,320855.0
2018,1,159826.0,165974.0
2017,1,159186.0,164627.0
2016,1,158367.0,163437.0
2015,1,158099.0,162565.0
2014,1,158085.0,161810.0
2013,1,158630.0,161297.0
2012,1,159551.0,161015.0
2011,1,159673.0,160173.0
2010,1,158892.0,158845.0
2009,1,157766.0,157514.0
2008,1,155474.0,155470.0
2018,33,491317.0,536342.0
2017,33,494532.0,539745.0
2016,33,497946.0,542979.0
2015,33,502362.0,547513.0
2014,33,507151.0,551824.0
2013,33,511932.0,555870.0
2012,33,515503.0,558801.0
2011,33,516497.0,559380.0
2010,33,517332.0,559771.0
2009,33,516868.0,559412.0
2008,33,513783.0,557298.0
2018,5,80696.0,79447.0
2017,5,81587.0,80161.0
2016,5,82580.0,81071.0
2015,5,83673.0,82068.0
2014,5,84485.0,82847.0
2013,5,85552.0,83906.0
2012,5,86617.0,84748.0
2011,5,87344.0,85426.0
2010,5,87691.0,85679.0
2009,5,87943.0,85875.0
2008,5,87521.0,85769.0
2018,6,334241.0,340765.0
2017,6,336228.0,342245.0
2016,6,338456.0,344115.0
2015,6,340416.0,345676.0
2014,6,341689.0,346958.0
2013,6,342965.0,347929.0
2012,6,343428.0,348413.0
2011,6,342454.0,347449.0
2010,6,341370.0,346375.0
2009,6,339751.0,344640.0
2008,6,337782.0,342892.0
2018,7,583269.0,583334.0
2017,7,575304.0,575631.0
2016,7,567545.0,567982.0
2015,7,562541.0,562431.0
2014,7,558631.0,557211.0
2013,7,556558.0,553557.0
2012,7,552593.0,548122.0
2011,7,548586.0,543069.0
2010,7,545138.0,538545.0
2009,7,538640.0,531524.0
2008,7,524023.0,518832.0
2018,8,2672858.0,2841530.0
2017,8,2655722.0,2818659.0
2016,8,2644747.0,2801157.0
2015,8,2640940.0,2791862.0
2014,8,2651393.0,2794224.0
2013,8,2682871.0,2810207.0
2012,8,2703747.0,2814529.0
2011,8,2705267.0,2800400.0
2010,8,2701883.0,2786749.0
2009,8,2694201.0,2771640.0
2008,8,2654433.0,2733273.0
2018,48,545851.0,589174.0
2017,48,545784.0,588707.0
2016,48,546309.0,588061.0
2015,48,547848.0,589272.0
2014,48,549932.0,590353.0
2013,48,555108.0,593763.0
2012,48,559733.0,595976.0
2011,48,560835.0,595195.0
2010,48,561248.0,594570.0
2009,48,561046.0,593582.0
2008,48,558221.0,590863.0
2018,9,178771.0,177348.0
2017,9,179535.0,178081.0
2016,9,180678.0,179194.0
2015,9,182446.0,180466.0
2014,9,183820.0,181475.0
2013,9,185852.0,182849.0
2012,9,188155.0,184035.0
2011,9,188923.0,184329.0
2010,9,189545.0,184460.0
2009,9,190291.0,184517.0
2008,9,189006.0,183555.0
2018,10,197514.0,198067.0
2017,10,199259.0,199774.0
2016,10,201012.0,201385.0
2015,10,202564.0,202967.0
2014,10,203763.0,204012.0
2013,10,204868.0,205206.0
2012,10,206095.0,206406.0
2011,10,205858.0,206539.0
2010,10,205231.0,206629.0
2009,10,204175.0,206125.0
2008,10,203432.0,205543.0
2018,11,620349.0,628795.0
2017,11,620717.0,628241.0
2016,11,620722.0,627519.0
2015,11,621089.0,627495.0
2014,11,620872.0,626680.0
2013,11,621167.0,626411.0
2012,11,620463.0,624899.0
2011,11,617114.0,621809.0
2010,11,612381.0,617463.0
2009,11,607768.0,613256.0
2008,11,601486.0,607581.0
2018,39,283648.0,297755.0
2017,39,283967.0,297510.0
2016,39,284550.0,297954.0
2015,39,286204.0,299154.0
2014,39,287479.0,300203.0
2013,39,288734.0,301303.0
