prov_code,town_name,debt
1,Alegría-Dulantzi,639
1,Amurrio,244
1,Aramaio,0
1,Artziniega,0
1,Armiñón,0
1,Arratzua-Ubarrundia,0
1,Asparrena,387
1,Ayala/Aiara,0
1,BañosdeEbro/Mañueta,64
1,Barrundia,0
1,Berantevilla,0
1,Bernedo,51
1,Campezo/Kanpezu,0
1,Zigoitia,0
1,Kripan,216
1,Kuartango,0
1,Elburgo/Burgelu,0
1,Elciego,29
1,Elvillar/Bilar,142
1,Iruraiz-Gauna,0
1,Labastida/Bastida,694
1,Lagrán,0
1,Laguardia,0
1,Lanciego/Lantziego,267
1,LapuebladeLabarca,29
1,Leza,88
1,Laudio/Llodio,0
1,Arraia-Maeztu,168
1,MoredadeÁlava/MoredaAraba,0
1,Navaridas,7
1,Okondo,118
1,Oyón-Oion,409
1,Peñacerrada-Urizaharra,0
1,Erriberagoitia/RiberaAlta,0
1,RiberaBaja/ErriberaBeitia,50
1,Añana,106
1,Salvatierra/Agurain,3.792
1,Samaniego,109
1,SanMillán/Donemiliaga,0
1,Urkabustaiz,0
1,Valdegovía/Gaubea,945
1,Harana/ValledeArana,50
1,VillabuenadeÁlava/Eskuernaga,42
1,Legutio,0
1,Vitoria-Gasteiz,144.225
1,Yécora/Iekora,36
1,Zalduondo,0
1,Zambrana,161
1,Zuia,0
1,IruñaOka/IruñadeOca,1
1,Lantarón,0
2,Abengibre,92
2,Alatoz,306
2,Albacete,67.679
2,Albatana,134
2,Alborea,0
2,Alcadozo,378
2,AlcaládelJúcar,371
2,Alcaraz,0
2,Almansa,11.570
2,Alpera,0
2,Ayna,297
2,Balazote,236
2,BalsadeVes,0
2,Ballestero(El),76
2,Barrax,1.176
2,Bienservida,555
2,Bogarra,205
2,Bonete,682
2,Bonillo(El),0
2,Carcelén,338
2,CasasdeJuanNúñez,1.148
2,CasasdeLázaro,210
2,CasasdeVes,86
2,Casas-Ibáñez,0
2,Caudete,4.104
2,Cenizate,195
2,Corral-Rubio,320
2,Cotillas,711
2,ChinchilladeMonte-Aragón,604
2,ElchedelaSierra,416
2,Férez,821
2,Fuensanta,76
2,Fuente-Álamo,156
2,Fuentealbilla,561
2,Gineta(La),2.039
2,Golosalvo,0
2,Hellín,18.160
2,Herrera(La),0
2,Higueruela,0
2,Hoya-Gonzalo,0
2,Jorquera,631
2,Letur,1.396
2,Lezuza,307
2,Liétor,48
2,Madrigueras,107
2,Mahora,366
2,Masegoso,0
2,Minaya,1.089
2,Molinicos,726
2,Montalvos,23
2,MontealegredelCastillo,0
2,Motilleja,552
2,Munera,1.477
2,NavasdeJorquera,99
2,Nerpio,790
2,Ontur,1.132
2,OssadeMontiel,859
2,PaternadelMadera,551
2,Peñascosa,0
2,PeñasdeSanPedro,0
2,Pétrola,0
2,Povedilla,74
2,Pozohondo,0
2,Pozo-Lorente,121
2,Pozuelo,36
2,Recueja(La),54
2,Riópar,1.850
2,Robledo,22
2,Roda(La),12.724
2,Salobre,0
2,SanPedro,225
2,Socovos,700
2,TarazonadelaMancha,0
2,Tobarra,4.968
2,Valdeganga,453
2,Vianos,24
2,VilladeVes,0
2,VillalgordodelJúcar,1.238
2,Villamalea,0
2,Villapalacios,65
2,Villarrobledo,21.121
2,Villatoya,194
2,Villavaliente,38
2,VillaverdedeGuadalimar,27
2,Viveros,3
2,Yeste,4.193
2,PozoCañada,205
3,Atzúbia(l'),157
3,Agost,0
3,Agres,0
3,Aigües,878
3,Albatera,3.701
3,Alcalalí,0
3,AlcocerdePlanes,0
3,Alcoleja,0
3,Alcoy/Alcoi,23.764
3,Alfafara,0
3,AlfàsdelPi(l'),11.381
3,Algorfa,459
3,Algueña,0
3,Alicante/Alacant,83.677
3,Almoradí,2.584
3,Almudaina,0
3,Alqueriad'Asnar(l'),0
3,Altea,10.741
3,Aspe,685
3,Balones,0
3,BanyeresdeMariola,1
3,Benasau,0
3,Beneixama,173
3,Benejúzar,110
3,Benferri,626
3,Beniarbeig,261
3,Beniardá,0
3,Beniarrés,85
3,Benigembla,0
3,Benidoleig,0
3,Benidorm,49.746
3,Benifallim,0
3,Benifato,0
3,Benijófar,2.937
3,Benilloba,124
3,Benillup,0
3,Benimantell,0
3,Benimarfull,0
3,Benimassot,0
3,Benimeli,0
3,Benissa,1
3,Benitachell/PobleNoudeBenitatxell(el),59
3,Biar,0
3,Bigastro,11.720
3,Bolulla,0
3,Busot,761
3,Calp,25.762
3,Callosad'enSarrià,405
3,CallosadeSegura,9.954
3,Campello(el),409
3,CampodeMirra/CampdeMirra(el),0
3,Cañada,0
3,Castalla,0
3,CastelldeCastells,0
3,Catral,2.274
3,Cocentaina,948
3,Confrides,0
3,Cox,0
3,Crevillent,4.030
3,Quatretondeta,0
3,DayaNueva,1.015
3,DayaVieja,2.533
3,Dénia,20.333
3,Dolores,2.050
3,Elche/Elx,57.126
3,Elda,350
3,Facheca,0
3,Famorca,0
3,Finestrat,14.891
3,FormenteradelSegura,115
3,GatadeGorgos,747
3,Gaianes,0
3,Gorga,0
3,GranjadeRocamora,86
3,CastelldeGuadalest(El),174
3,GuardamardelSegura,6.786
3,FondódelesNeus(El)/HondóndelasNieves,0
3,HondóndelosFrailes,0
3,Ibi,6.180
3,Jacarilla,0
3,Xaló,0
3,Jávea/Xàbia,7.991
3,Jijona/Xixona,0
3,Lorcha/Orxa(l'),670
3,Llíber,404
3,Millena,58
3,MonfortedelCid,7.410
3,Monóvar/Monòver,11.582
3,Mutxamel,0
3,Murla,0
3,MurodeAlcoy,0
3,Novelda,25.356
3,Nucia(la),15.056
3,Ondara,1.649
3,Onil,0
3,Orba,975
3,Orxeta,130
3,Orihuela,23.342
3,Parcent,0
3,Pedreguer,906
3,Pego,5.400
3,Penàguila,64
3,Petrer,4.195
3,Pinoso/Pinós(El),3.059
3,Planes,146
3,Polop,2.861
3,Rafal,180
3,Ràfold'Almúnia(El),27
3,Redován,2.580
3,Relleu,0
3,Rojales,19
3,Romana(la),0
3,Sagra,0
3,Salinas,0
3,SanetyNegrals,0
3,SanFulgencio,4.185
3,SantJoand'Alacant,7.515
3,SanMigueldeSalinas,0
3,SantaPola,4.010
3,SanVicentedelRaspeig/SantVicentdelRaspeig,1.801
3,Sax,2.153
3,Sella,0
3,Senija,0
3,Tàrbena,102
3,Teulada,0
3,Tibi,0
3,Tollos,0
3,Tormos,0
3,Torremanzanas/TorredelesMaçanes(la),142
3,Torrevieja,23.030
3,Valld'Alcalà(la),0
3,Valld'Ebo(la),0
3,ValldeGallinera,0
3,ValldeLaguar(la),0
3,Verger(el),2.463
3,Villajoyosa/VilaJoiosa(la),11.691
3,Villena,116
3,Poblets(els),0
3,PilardelaHoradada,3.015
3,Montesinos(Los),0
3,SanIsidro,243
4,Abla,310
4,Abrucena,16
4,Adra,15.452
4,Albánchez,61
4,Alboloduy,0
4,Albox,20.390
4,Alcolea,235
4,Alcóntar,149
4,AlcudiadeMonteagud,24
4,Alhabia,2.601
4,AlhamadeAlmería,2.130
4,Alicún,189
4,Almería,79.784
4,Almócita,7
4,Alsodux,0
4,Antas,1.545
4,Arboleas,433
4,ArmuñadeAlmanzora,0
4,Bacares,120
4,Bayárcal,33
4,Bayarque,0
4,Bédar,0
4,Beires,1
4,Benahadux,0
4,Benitagla,0
4,Benizalón,19
4,Bentarique,186
4,Berja,6.034
4,Canjáyar,58
4,Cantoria,968
4,Carboneras,4.197
4,CastrodeFilabres,0
4,Cóbdar,0
4,CuevasdelAlmanzora,4.111
4,Chercos,0
4,Chirivel,1.182
4,Dalías,2.615
4,Enix,62
4,Felix,126
4,Fines,1.410
4,Fiñana,104
4,Fondón,71
4,Gádor,902
4,Gallardos(Los),106
4,Garrucha,3.404
4,Gérgal,113
4,Huécija,150
4,HuércaldeAlmería,0
4,Huércal-Overa,8.704
4,Illar,179
4,Instinción,0
4,Laroya,24
4,LáujardeAndarax,0
4,Líjar,0
4,Lubrín,562
4,LucainenadelasTorres,58
4,Lúcar,354
4,Macael,12.799
4,María,275
4,Mojácar,1.973
4,Nacimiento,0
4,Níjar,13.562
4,Ohanes,53
4,OluladeCastro,94
4,OluladelRío,1.944
4,Oria,1.654
4,Padules,72
4,Partaloa,338
4,PaternadelRío,59
4,Pechina,0
4,Pulpí,4.314
4,Purchena,456
4,Rágol,202
4,Rioja,0
4,RoquetasdeMar,14.959
4,SantaCruzdeMarchena,0
4,SantaFedeMondújar,0
4,Senés,50
4,Serón,105
4,Sierro,32
4,Somontín,0
4,Sorbas,1.480
4,Suflí,44
4,Tabernas,440
4,Taberno,40
4,Tahal,100
4,Terque,67
4,Tíjola,2
4,Turre,8.368
4,Turrillas,114
4,UleiladelCampo,87
4,Urrácal,0
4,Velefique,0
4,Vélez-Blanco,425
4,Vélez-Rubio,4.595
4,Vera,323
4,Viator,0
4,Vícar,12.818
4,Zurgena,723
4,TresVillas(Las),0
4,Ejido(El),181.266
4,Mojonera(La),2.947
4,Balanegra,0
5,Adanero,96
5,Adrada(La),0
5,Albornos,0
5,AldeanuevadeSantaCruz,0
5,Aldeaseca,0
5,Aldehuela(La),0
5,Amavida,0
5,Arenal(El),5
5,ArenasdeSanPedro,1.555
5,Arevalillo,0
5,Arévalo,1.735
5,Aveinte,0
5,Avellaneda,0
5,Ávila,32.688
5,BarcodeÁvila(El),69
5,Barraco(El),0
5,Barromán,0
5,Becedas,0
5,Becedillas,0
5,BercialdeZapardiel,23
5,Berlanas(Las),8
5,Bernuy-Zapardiel,0
5,BerrocalejodeAragona,0
5,Blascomillán,0
5,BlasconuñodeMatacabras,0
5,Blascosancho,20
5,Bohodón(El),0
5,Bohoyo,0
5,BonilladelaSierra,0
5,Brabos,0
5,Bularros,0
5,Burgohondo,576
5,CabezasdeAlambre,0
5,CabezasdelPozo,0
5,CabezasdelVillar,0
5,Cabizuela,0
5,Canales,0
5,Candeleda,362
5,Cantiveros,0
5,Cardeñosa,0
5,Carrera(La),0
5,CasasdelPuerto,0
5,Casasola,0
5,Casavieja,0
5,Casillas,232
5,CastellanosdeZapardiel,0
5,Cebreros,0
5,CepedalaMora,0
5,Cillán,24
5,Cisla,0
5,Colilla(La),0
5,ColladodeContreras,0
5,ColladodelMirón,0
5,Constanzana,0
5,Crespos,0
5,CuevasdelValle,256
5,Chamartín,0
5,Donjimeno,0
5,Donvidas,0
5,EspinosadelosCaballeros,0
5,FloresdeÁvila,0
5,Fontiveros,0
5,Fresnedilla,0
5,Fresno(El),0
5,FuenteelSaúz,0
5,FuentesdeAño,0
5,GallegosdeAltamiros,0
5,GallegosdeSobrinos,0
5,GargantadelVillar,0
5,Gavilanes,224
5,Gemuño,0
5,Gilbuena,0
5,GilGarcía,0
5,Gimialcón,0
5,Gotarrendura,189
5,GrandesySanMartín,0
5,Guisando,0
5,Gutierre-Muñoz,0
5,Hernansancho,0
5,HerradóndePinares,396
5,HerrerosdeSuso,0
5,HigueradelasDueñas,0
5,HijadeDios(La),0
5,Horcajada(La),0
5,HorcajodelasTorres,0
5,Hornillo(El),216
5,Hoyocasero,0
5,HoyodePinares(El),1.046
5,Hoyorredondo,0
5,HoyosdelCollado,0
5,HoyosdelEspino,0
5,HoyosdeMiguelMuñoz,0
5,Hurtumpascual,0
5,Junciana,0
5,Langa,0
5,Lanzahíta,491
5,LosardelBarco(El),0
5,LlanosdeTormes(Los),0
5,MadrigaldelasAltasTorres,0
5,Maello,0
5,MalpartidadeCorneja,0
5,Mamblas,0
5,ManceradeArriba,0
5,ManjabálagoyOrtigosadeRioalmar,0
5,Marlín,0
5,Martiherrero,0
5,Martínez,0
5,MedianadeVoltoya,0
5,Medinilla,0
5,Mengamuñoz,0
5,MesegardeCorneja,0
5,Mijares,4
5,Mingorría,0
5,Mirón(El),0
5,Mironcillo,0
5,MirueñadelosInfanzones,0
5,Mombeltrán,401
5,Monsalupe,0
5,MoralejadeMatacabras,8
5,Muñana,163
5,Muñico,0
5,Muñogalindo,0
5,Muñogrande,0
5,MuñomerdelPeco,0
5,Muñopepe,0
5,Muñosancho,0
5,Muñotello,0
5,NarrillosdelÁlamo,0
5,NarrillosdelRebollar,0
5,NarrosdelCastillo,0
5,NarrosdelPuerto,0
5,NarrosdeSaldueña,0
5,NavacepedilladeCorneja,21
5,NavadeArévalo,0
5,NavadelBarco,0
5,Navadijos,0
5,Navaescurial,0
5,Navahondilla,376
5,Navalacruz,0
5,Navalmoral,0
5,Navalonguilla,0
5,Navalosa,0
5,NavalperaldePinares,0
5,NavalperaldeTormes,0
5,Navaluenga,0
5,Navaquesera,0
5,NavarredondadeGredos,360
5,Navarredondilla,0
5,Navarrevisca,0
5,NavasdelMarqués(Las),356
5,Navatalgordo,48
5,Navatejares,0
5,NeiladeSanMiguel,0
5,Niharra,0
5,Ojos-Albos,0
5,Orbita,0
5,Oso(El),0
5,Padiernos,0
5,PajaresdeAdaja,29
5,PalaciosdeGoda,79
5,Papatrigo,0
5,Parral(El),0
5,Pascualcobo,13
5,PedroBernardo,589
5,Pedro-Rodríguez,0
5,Peguerinos,1.059
5,PeñalbadeÁvila,0
5,Piedrahíta,708
5,Piedralaves,0
5,Poveda,16
5,PoyalesdelHoyo,0
5,Pozanco,0
5,Pradosegar,0
5,PuertoCastilla,0
5,Rasueros,0
5,Riocabado,0
5,Riofrío,0
5,RivilladeBarajas,7
5,Salobral,11
5,Salvadiós,0
5,SanBartolomédeBéjar,0
5,SanBartolomédeCorneja,0
5,SanBartolomédePinares,0
5,Sanchidrián,9
5,Sanchorreja,0
5,SanEstebandelosPatos,0
5,SanEstebandelValle,21
5,SanEstebandeZapardiel,0
5,SanGarcíadeIngelmos,0
5,SanJuandelaEncinilla,0
5,SanJuandelaNava,0
5,SanJuandelMolinillo,0
5,SanJuandelOlmo,0
5,SanLorenzodeTormes,0
5,SanMartíndelaVegadelAlberche,0
5,SanMartíndelPimpollar,0
5,SanMigueldeCorneja,0
5,SanMigueldeSerrezuela,31
5,SanPascual,0
5,SanPedrodelArroyo,0
5,SantaCruzdelValle,859
5,SantaCruzdePinares,0
5,SantaMaríadelArroyo,0
5,SantaMaríadelBerrocal,63
5,SantaMaríadelosCaballeros,0
5,SantaMaríadelTiétar,0
5,SantiagodelCollado,0
5,SantoDomingodelasPosadas,0
5,SantoTomédeZabarcos,0
5,SanVicentedeArévalo,0
5,Serrada(La),0
5,Serranillos,0
5,Sigeres,0
5,Sinlabajos,0
5,SolanadeÁvila,0
5,SolanadeRioalmar,0
5,Solosancho,97
5,Sotalbo,13
5,SotillodelaAdrada,849
5,Tiemblo(El),492
5,Tiñosillos,0
5,Tolbaños,0
5,Tormellas,0
