year,prov_code,men,women
2018,2,195009,195357
2017,2,195681,195893
2016,2,196394,196564
2015,2,197389,197539
2014,2,198256,198428
2013,2,199828,199682
2012,2,201085,200505
2011,2,200830,200016
2010,2,200366,199081
2009,2,199799,198082
2008,2,198260,196261
2018,3,915455,930089
2017,3,914824,927748
2016,3,915629,926816
2015,3,916055,926119
2014,3,921458,929166
2013,3,923942,930302
2012,3,924452,928757
2011,3,920410,924028
2010,3,918948,921137
2009,3,918027,918107
2008,3,909620,907899
2018,4,354572,346600
2017,4,354122,345919
2016,4,352228,343958
2015,4,349380,341774
2014,4,348597,340291
2013,4,350948,340731
2012,4,350979,338341
2011,4,351257,335191
2010,4,348985,331499
2009,4,345568,327474
2008,4,338589,320855
2018,1,159826,165974
2017,1,159186,164627
2016,1,158367,163437
2015,1,158099,162565
2014,1,158085,161810
2013,1,158630,161297
2012,1,159551,161015
2011,1,159673,160173
2010,1,158892,158845
2009,1,157766,157514
2008,1,155474,155470
2018,33,491317,536342
2017,33,494532,539745
2016,33,497946,542979
2015,33,502362,547513
2014,33,507151,551824
2013,33,511932,555870
2012,33,515503,558801
2011,33,516497,559380
2010,33,517332,559771
2009,33,516868,559412
2008,33,513783,557298
2018,5,80696,79447
2017,5,81587,80161
2016,5,82580,81071
2015,5,83673,82068
2014,5,84485,82847
2013,5,85552,83906
2012,5,86617,84748
2011,5,87344,85426
2010,5,87691,85679
2009,5,87943,85875
2008,5,87521,85769
2018,6,334241,340765
2017,6,336228,342245
2016,6,338456,344115
2015,6,340416,345676
2014,6,341689,346958
2013,6,342965,347929
2012,6,343428,348413
2011,6,342454,347449
2010,6,341370,346375
2009,6,339751,344640
2008,6,337782,342892
2018,7,583269,583334
2017,7,575304,575631
2016,7,567545,567982
2015,7,562541,562431
2014,7,558631,557211
2013,7,556558,553557
2012,7,552593,548122
2011,7,548586,543069
2010,7,545138,538545
2009,7,538640,531524
2008,7,524023,518832
2018,8,2672858,2841530
2017,8,2655722,2818659
2016,8,2644747,2801157
2015,8,2640940,2791862
2014,8,2651393,2794224
2013,8,2682871,2810207
2012,8,2703747,2814529
2011,8,2705267,2800400
2010,8,2701883,2786749
2009,8,2694201,2771640
2008,8,2654433,2733273
2018,48,545851,589174
2017,48,545784,588707
2016,48,546309,588061
2015,48,547848,589272
2014,48,549932,590353
2013,48,555108,593763
2012,48,559733,595976
2011,48,560835,595195
2010,48,561248,594570
2009,48,561046,593582
2008,48,558221,590863
2018,9,178771,177348
2017,9,179535,178081
2016,9,180678,179194
2015,9,182446,180466
2014,9,183820,181475
2013,9,185852,182849
2012,9,188155,184035
2011,9,188923,184329
2010,9,189545,184460
2009,9,190291,184517
2008,9,189006,183555
2018,10,197514,198067
2017,10,199259,199774
2016,10,201012,201385
2015,10,202564,202967
2014,10,203763,204012
2013,10,204868,205206
2012,10,206095,206406
2011,10,205858,206539
2010,10,205231,206629
2009,10,204175,206125
2008,10,203432,205543
2018,11,620349,628795
2017,11,620717,628241
2016,11,620722,627519
2015,11,621089,627495
2014,11,620872,626680
2013,11,621167,626411
2012,11,620463,624899
2011,11,617114,621809
2010,11,612381,617463
2009,11,607768,613256
2008,11,601486,607581
2018,39,283648,297755
2017,39,283967,297510
2016,39,284550,297954
2015,39,286204,299154
2014,39,287479,300203
2013,39,288734,301303
2012,39,290133,302254
2011,39,289406,301468
2010,39,288423,300095
2009,39,286659,297996
2008,39,282699,294567
2018,2,282781,286775
2017,2,283164,287007
2016,2,284025,287199
2015,2,285919,288540
2014,2,288155,290058
2013,2,292684,293045
2012,2,297669,296255
2011,2,298888,296685
2010,2,299597,296256
2009,2,299815,294922
2008,2,296324,291691
2018,13,247057,251671
2017,13,249888,254229
2016,13,252357,256052
2015,13,255465,258679
2014,13,257584,260468
2013,13,260177,262572
2012,13,262148,264134
2011,13,262176,263990
2010,13,262138,263321
2009,13,261565,262399
2008,13,259226,260533
2018,14,386169,400294
2017,14,387966,402015
2016,14,389187,403225
2015,14,390844,404860
2014,14,391933,405837
2013,14,393273,407140
2012,14,394505,408212
2011,14,393972,407820
2010,14,392969,406788
2009,14,391921,405407
2008,14,389579,403102
2018,15,538748,582737
2017,15,539055,582691
2016,15,540529,583586
2015,15,543023,585671
2014,15,545342,587987
2013,15,548031,590463
2012,15,549265,591913
2011,15,548550,591518
2010,15,547520,590586
2009,15,545971,589315
2008,15,542390,586209
2018,16,101434,99219
2017,16,102229,99808
2016,16,103297,100703
2015,16,104624,101970
2014,16,105685,102977
2013,16,107374,104422
2012,16,108781,105971
2011,16,109637,106740
2010,16,109938,106671
2009,16,109835,106600
2008,16,108844,106059
2018,20,345256,365050
2017,20,344838,364141
2016,20,344813,363079
2015,20,344922,362395
2014,20,345072,361914
2013,20,346232,361975
2012,20,346871,361550
2011,20,346883,360375
2010,20,347048,358929
2009,20,346609,357564
2008,20,344199,355199
2018,17,373330,376197
2017,17,371571,373673
2016,17,370201,371407
2015,17,370122,370250
2014,17,372332,370792
2013,17,376416,372775
2012,17,378879,372721
2011,17,377460,369576
2010,17,375941,365900
2009,17,374151,361705
2008,17,365976,353771
2018,18,454404,462972
2017,18,454440,462599
2016,18,454723,462771
2015,18,455501,463638
2014,18,456567,463917
2013,18,457787,464350
2012,18,458053,464408
2011,18,456366,463518
2010,18,453709,461608
2009,18,450462,458650
2008,18,445339,454921
2018,19,130028,126109
2017,19,129659,125673
2016,19,129294,124986
2015,19,129641,124917
2014,19,130218,125021
2013,19,131548,125552
2012,19,132200,125531
2011,19,130678,123978
2010,19,128818,121713
2009,19,126298,119106
2008,19,122069,115293
2018,21,258236,264216
2017,21,258028,263082
2016,21,258263,263386
2015,21,258545,263591
2014,21,258389,263039
2013,21,258390,262558
2012,21,257850,262130
2011,21,257222,260668
2010,21,255966,258664
2009,21,253562,256716
2008,21,250758,254278
2018,22,110685,108546
2017,22,111012,108658
2016,22,111516,109072
2015,22,112377,109707
2014,22,113182,110176
2013,22,114046,110642
2012,22,114693,111128
2011,22,115394,111202
2010,22,115612,111178
2009,22,115685,111083
2008,22,114309,110098
2018,23,315910,320705
2017,23,318789,323027
2016,23,321155,325345
2015,23,324051,328081
2014,23,326158,329973
2013,23,329913,331803
2012,23,333760,333500
2011,23,332956,334104
2010,23,331841,334521
2009,23,331044,334157
2008,23,330002,333526
2018,24,227127,238903
2017,24,229440,240886
2016,24,231782,243114
2015,24,234533,245798
2014,24,236768,247764
2013,24,239125,250113
2012,24,241096,251727
2011,24,241709,252501
2010,24,242090,252733
2009,24,242204,252837
2008,24,241497,252441
2018,25,217187,212090
2017,25,216996,211897
2016,25,217180,211928
2015,25,217796,212864
2014,25,218835,213334
2013,25,221301,214546
2012,25,223077,215135
2011,25,222425,214264
2010,25,221356,212822
2009,25,220203,211206
2008,25,215983,207501
2018,27,161041,170466
2017,27,162070,171523
2016,27,163297,172839
2015,27,164645,174275
2014,27,166048,175774
2013,27,167629,177217
2012,27,169176,178452
2011,27,170058,179467
2010,27,170859,180141
2009,27,171514,180808
2008,27,171339,181294
2018,28,3142095,3407885
2017,28,3108811,3367894
2016,28,3084747,3339528
2015,28,3066776,3318521
2014,28,3065576,3312721
2013,28,3086686,3328023
2012,28,3097459,3328114
2011,28,3087772,3306467
2010,28,3082941,3290591
2009,28,3066114,3261480
2008,28,3018293,3207902
2018,29,812077,839547
2017,29,810480,836233
2016,29,808326,832246
2015,29,804149,827209
2014,29,798860,820853
2013,29,795377,816606
2012,29,789052,809085
2011,29,780751,800593
2010,29,773689,792977
