prov_code;prov_name;ac_code
1;Araba/Alava;15
2;Albacete;8
3;Alicante;17
4;Almería;1
5;Avila;7
6;Badajoz;10
7;Balearic Islands;4
8;Barcelona;9
9;Burgos;7
10;Cáceres;10
11;Cádiz;1
12;Castellón;17
13;Ciudad Real;8
14;Córdoba;1
15;La Coruña;11
16;Cuenca;8
17;Girona;9
18;Granada;1
19;Guadalajara;8
20;Guipúzcoa;15
21;Huelva;1
22;Huesca;2
23;Jaén;1
24;León;7
25;Lleida;9
26;La Rioja;16
27;Lugo;11
28;Madrid;12
29;Málaga;1
30;Murcia;13
31;Navarra;14
32;Ourense;11
33;Asturias;3
34;Palencia;7
35;Provincia de Las Palmas;5
36;Pontevedra;11
37;Salamanca;7
38;Santa Cruz de Tenerife;5
39;Cantabria;6
40;Segovia;7
41;Sevilla;1
42;Soria;7
43;Tarragona;9
44;Teruel;2
45;Toledo;8
46;Valencia;17
47;Valladolid;7
48;Biscay;15
49;Zamora;7
50;Zaragoza;2
51;Ceuta;18
52;Melilla;19
