prov_code,capital,town_name,debt
1,0,Alegría-Dulantzi,639
1,0,Amurrio,244
1,0,Aramaio,0
1,0,Artziniega,0
1,0,Armiñón,0
1,0,Arratzua-Ubarrundia,0
1,0,Asparrena,387
1,0,Ayala/Aiara,0
1,0,BañosdeEbro/Mañueta,64
1,0,Barrundia,0
1,0,Berantevilla,0
1,0,Bernedo,51
1,0,Campezo/Kanpezu,0
1,0,Zigoitia,0
1,0,Kripan,216
1,0,Kuartango,0
1,0,Elburgo/Burgelu,0
1,0,Elciego,29
1,0,Elvillar/Bilar,142
1,0,Iruraiz-Gauna,0
1,0,Labastida/Bastida,694
1,0,Lagrán,0
1,0,Laguardia,0
1,0,Lanciego/Lantziego,267
1,0,LapuebladeLabarca,29
1,0,Leza,88
1,0,Laudio/Llodio,0
1,0,Arraia-Maeztu,168
1,0,MoredadeÁlava/MoredaAraba,0
1,0,Navaridas,7
1,0,Okondo,118
1,0,Oyón-Oion,409
1,0,Peñacerrada-Urizaharra,0
1,0,Erriberagoitia/RiberaAlta,0
1,0,RiberaBaja/ErriberaBeitia,50
1,0,Añana,106
1,0,Salvatierra/Agurain,3.792
1,0,Samaniego,109
1,0,SanMillán/Donemiliaga,0
1,0,Urkabustaiz,0
1,0,Valdegovía/Gaubea,945
1,0,Harana/ValledeArana,50
1,0,VillabuenadeÁlava/Eskuernaga,42
1,0,Legutio,0
1,1,Vitoria-Gasteiz,144.225
1,0,Yécora/Iekora,36
1,0,Zalduondo,0
1,0,Zambrana,161
1,0,Zuia,0
1,0,IruñaOka/IruñadeOca,1
1,0,Lantarón,0
2,0,Abengibre,92
2,0,Alatoz,306
2,1,Albacete,67.679
2,0,Albatana,134
2,0,Alborea,0
2,0,Alcadozo,378
2,0,AlcaládelJúcar,371
2,0,Alcaraz,0
2,0,Almansa,11.570
2,0,Alpera,0
2,0,Ayna,297
2,0,Balazote,236
2,0,BalsadeVes,0
2,0,Ballestero(El),76
2,0,Barrax,1.176
2,0,Bienservida,555
2,0,Bogarra,205
2,0,Bonete,682
2,0,Bonillo(El),0
2,0,Carcelén,338
2,0,CasasdeJuanNúñez,1.148
2,0,CasasdeLázaro,210
2,0,CasasdeVes,86
2,0,Casas-Ibáñez,0
2,0,Caudete,4.104
2,0,Cenizate,195
2,0,Corral-Rubio,320
2,0,Cotillas,711
2,0,ChinchilladeMonte-Aragón,604
2,0,ElchedelaSierra,416
2,0,Férez,821
2,0,Fuensanta,76
2,0,Fuente-Álamo,156
2,0,Fuentealbilla,561
2,0,Gineta(La),2.039
2,0,Golosalvo,0
2,0,Hellín,18.160
2,0,Herrera(La),0
2,0,Higueruela,0
2,0,Hoya-Gonzalo,0
2,0,Jorquera,631
2,0,Letur,1.396
2,0,Lezuza,307
2,0,Liétor,48
2,0,Madrigueras,107
2,0,Mahora,366
2,0,Masegoso,0
2,0,Minaya,1.089
2,0,Molinicos,726
2,0,Montalvos,23
2,0,MontealegredelCastillo,0
2,0,Motilleja,552
2,0,Munera,1.477
2,0,NavasdeJorquera,99
2,0,Nerpio,790
2,0,Ontur,1.132
2,0,OssadeMontiel,859
2,0,PaternadelMadera,551
2,0,Peñascosa,0
2,0,PeñasdeSanPedro,0
2,0,Pétrola,0
2,0,Povedilla,74
2,0,Pozohondo,0
2,0,Pozo-Lorente,121
2,0,Pozuelo,36
2,0,Recueja(La),54
2,0,Riópar,1.850
2,0,Robledo,22
2,0,Roda(La),12.724
2,0,Salobre,0
2,0,SanPedro,225
2,0,Socovos,700
2,0,TarazonadelaMancha,0
2,0,Tobarra,4.968
2,0,Valdeganga,453
2,0,Vianos,24
2,0,VilladeVes,0
2,0,VillalgordodelJúcar,1.238
2,0,Villamalea,0
2,0,Villapalacios,65
2,0,Villarrobledo,21.121
2,0,Villatoya,194
2,0,Villavaliente,38
2,0,VillaverdedeGuadalimar,27
2,0,Viveros,3
2,0,Yeste,4.193
2,0,PozoCañada,205
3,0,Atzúbia(l'),157
3,0,Agost,0
3,0,Agres,0
3,0,Aigües,878
3,0,Albatera,3.701
3,0,Alcalalí,0
3,0,AlcocerdePlanes,0
3,0,Alcoleja,0
3,0,Alcoy/Alcoi,23.764
3,0,Alfafara,0
3,0,AlfàsdelPi(l'),11.381
3,0,Algorfa,459
3,0,Algueña,0
3,1,Alicante/Alacant,83.677
3,0,Almoradí,2.584
3,0,Almudaina,0
3,0,Alqueriad'Asnar(l'),0
3,0,Altea,10.741
3,0,Aspe,685
3,0,Balones,0
3,0,BanyeresdeMariola,1
3,0,Benasau,0
3,0,Beneixama,173
3,0,Benejúzar,110
3,0,Benferri,626
3,0,Beniarbeig,261
3,0,Beniardá,0
3,0,Beniarrés,85
3,0,Benigembla,0
3,0,Benidoleig,0
3,0,Benidorm,49.746
3,0,Benifallim,0
3,0,Benifato,0
3,0,Benijófar,2.937
3,0,Benilloba,124
3,0,Benillup,0
3,0,Benimantell,0
3,0,Benimarfull,0
3,0,Benimassot,0
3,0,Benimeli,0
3,0,Benissa,1
3,0,Benitachell/PobleNoudeBenitatxell(el),59
3,0,Biar,0
3,0,Bigastro,11.720
3,0,Bolulla,0
3,0,Busot,761
3,0,Calp,25.762
3,0,Callosad'enSarrià,405
3,0,CallosadeSegura,9.954
3,0,Campello(el),409
3,0,CampodeMirra/CampdeMirra(el),0
3,0,Cañada,0
3,0,Castalla,0
3,0,CastelldeCastells,0
3,0,Catral,2.274
3,0,Cocentaina,948
3,0,Confrides,0
3,0,Cox,0
3,0,Crevillent,4.030
3,0,Quatretondeta,0
3,0,DayaNueva,1.015
3,0,DayaVieja,2.533
3,0,Dénia,20.333
3,0,Dolores,2.050
3,0,Elche/Elx,57.126
3,0,Elda,350
3,0,Facheca,0
3,0,Famorca,0
3,0,Finestrat,14.891
3,0,FormenteradelSegura,115
3,0,GatadeGorgos,747
3,0,Gaianes,0
3,0,Gorga,0
3,0,GranjadeRocamora,86
3,0,CastelldeGuadalest(El),174
3,0,GuardamardelSegura,6.786
3,0,FondódelesNeus(El)/HondóndelasNieves,0
3,0,HondóndelosFrailes,0
3,0,Ibi,6.180
3,0,Jacarilla,0
3,0,Xaló,0
3,0,Jávea/Xàbia,7.991
3,0,Jijona/Xixona,0
3,0,Lorcha/Orxa(l'),670
3,0,Llíber,404
3,0,Millena,58
3,0,MonfortedelCid,7.410
3,0,Monóvar/Monòver,11.582
3,0,Mutxamel,0
3,0,Murla,0
3,0,MurodeAlcoy,0
3,0,Novelda,25.356
3,0,Nucia(la),15.056
3,0,Ondara,1.649
3,0,Onil,0
3,0,Orba,975
3,0,Orxeta,130
3,0,Orihuela,23.342
3,0,Parcent,0
3,0,Pedreguer,906
3,0,Pego,5.400
3,0,Penàguila,64
3,0,Petrer,4.195
3,0,Pinoso/Pinós(El),3.059
3,0,Planes,146
3,0,Polop,2.861
3,0,Rafal,180
3,0,Ràfold'Almúnia(El),27
3,0,Redován,2.580
3,0,Relleu,0
3,0,Rojales,19
3,0,Romana(la),0
3,0,Sagra,0
3,0,Salinas,0
3,0,SanetyNegrals,0
3,0,SanFulgencio,4.185
3,0,SantJoand'Alacant,7.515
3,0,SanMigueldeSalinas,0
3,0,SantaPola,4.010
3,0,SanVicentedelRaspeig/SantVicentdelRaspeig,1.801
3,0,Sax,2.153
3,0,Sella,0
3,0,Senija,0
3,0,Tàrbena,102
3,0,Teulada,0
3,0,Tibi,0
3,0,Tollos,0
3,0,Tormos,0
3,0,Torremanzanas/TorredelesMaçanes(la),142
3,0,Torrevieja,23.030
3,0,Valld'Alcalà(la),0
3,0,Valld'Ebo(la),0
3,0,ValldeGallinera,0
3,0,ValldeLaguar(la),0
3,0,Verger(el),2.463
3,0,Villajoyosa/VilaJoiosa(la),11.691
3,0,Villena,116
3,0,Poblets(els),0
3,0,PilardelaHoradada,3.015
3,0,Montesinos(Los),0
3,0,SanIsidro,243
4,0,Abla,310
4,0,Abrucena,16
4,0,Adra,15.452
4,0,Albánchez,61
4,0,Alboloduy,0
4,0,Albox,20.390
4,0,Alcolea,235
4,0,Alcóntar,149
4,0,AlcudiadeMonteagud,24
4,0,Alhabia,2.601
4,0,AlhamadeAlmería,2.130
4,0,Alicún,189
4,1,Almería,79.784
4,0,Almócita,7
4,0,Alsodux,0
4,0,Antas,1.545
4,0,Arboleas,433
4,0,ArmuñadeAlmanzora,0
4,0,Bacares,120
4,0,Bayárcal,33
4,0,Bayarque,0
4,0,Bédar,0
4,0,Beires,1
4,0,Benahadux,0
4,0,Benitagla,0
4,0,Benizalón,19
4,0,Bentarique,186
4,0,Berja,6.034
4,0,Canjáyar,58
4,0,Cantoria,968
4,0,Carboneras,4.197
4,0,CastrodeFilabres,0
4,0,Cóbdar,0
4,0,CuevasdelAlmanzora,4.111
4,0,Chercos,0
4,0,Chirivel,1.182
4,0,Dalías,2.615
4,0,Enix,62
4,0,Felix,126
4,0,Fines,1.410
4,0,Fiñana,104
4,0,Fondón,71
4,0,Gádor,902
4,0,Gallardos(Los),106
4,0,Garrucha,3.404
4,0,Gérgal,113
4,0,Huécija,150
4,0,HuércaldeAlmería,0
4,0,Huércal-Overa,8.704
4,0,Illar,179
4,0,Instinción,0
4,0,Laroya,24
4,0,LáujardeAndarax,0
4,0,Líjar,0
4,0,Lubrín,562
4,0,LucainenadelasTorres,58
4,0,Lúcar,354
4,0,Macael,12.799
4,0,María,275
4,0,Mojácar,1.973
4,0,Nacimiento,0
4,0,Níjar,13.562
4,0,Ohanes,53
4,0,OluladeCastro,94
4,0,OluladelRío,1.944
4,0,Oria,1.654
4,0,Padules,72
4,0,Partaloa,338
4,0,PaternadelRío,59
4,0,Pechina,0
4,0,Pulpí,4.314
4,0,Purchena,456
4,0,Rágol,202
4,0,Rioja,0
4,0,RoquetasdeMar,14.959
4,0,SantaCruzdeMarchena,0
4,0,SantaFedeMondújar,0
4,0,Senés,50
4,0,Serón,105
4,0,Sierro,32
4,0,Somontín,0
4,0,Sorbas,1.480
4,0,Suflí,44
4,0,Tabernas,440
4,0,Taberno,40
4,0,Tahal,100
4,0,Terque,67
4,0,Tíjola,2
4,0,Turre,8.368
4,0,Turrillas,114
4,0,UleiladelCampo,87
4,0,Urrácal,0
4,0,Velefique,0
4,0,Vélez-Blanco,425
4,0,Vélez-Rubio,4.595
4,0,Vera,323
4,0,Viator,0
4,0,Vícar,12.818
4,0,Zurgena,723
4,0,TresVillas(Las),0
4,0,Ejido(El),181.266
4,0,Mojonera(La),2.947
4,0,Balanegra,0
5,0,Adanero,96
5,0,Adrada(La),0
5,0,Albornos,0
5,0,AldeanuevadeSantaCruz,0
5,0,Aldeaseca,0
5,0,Aldehuela(La),0
5,0,Amavida,0
5,0,Arenal(El),5
5,0,ArenasdeSanPedro,1.555
5,0,Arevalillo,0
5,0,Arévalo,1.735
5,0,Aveinte,0
5,0,Avellaneda,0
5,1,Ávila,32.688
5,0,BarcodeÁvila(El),69
5,0,Barraco(El),0
5,0,Barromán,0
5,0,Becedas,0
5,0,Becedillas,0
5,0,BercialdeZapardiel,23
5,0,Berlanas(Las),8
5,0,Bernuy-Zapardiel,0
5,0,BerrocalejodeAragona,0
5,0,Blascomillán,0
5,0,BlasconuñodeMatacabras,0
5,0,Blascosancho,20
5,0,Bohodón(El),0
5,0,Bohoyo,0
5,0,BonilladelaSierra,0
5,0,Brabos,0
5,0,Bularros,0
5,0,Burgohondo,576
5,0,CabezasdeAlambre,0
5,0,CabezasdelPozo,0
5,0,CabezasdelVillar,0
5,0,Cabizuela,0
5,0,Canales,0
5,0,Candeleda,362
5,0,Cantiveros,0
5,0,Cardeñosa,0
5,0,Carrera(La),0
5,0,CasasdelPuerto,0
5,0,Casasola,0
5,0,Casavieja,0
5,0,Casillas,232
5,0,CastellanosdeZapardiel,0
5,0,Cebreros,0
5,0,CepedalaMora,0
5,0,Cillán,24
5,0,Cisla,0
5,0,Colilla(La),0
5,0,ColladodeContreras,0
5,0,ColladodelMirón,0
5,0,Constanzana,0
5,0,Crespos,0
5,0,CuevasdelValle,256
5,0,Chamartín,0
5,0,Donjimeno,0
5,0,Donvidas,0
5,0,EspinosadelosCaballeros,0
5,0,FloresdeÁvila,0
5,0,Fontiveros,0
5,0,Fresnedilla,0
5,0,Fresno(El),0
5,0,FuenteelSaúz,0
5,0,FuentesdeAño,0
5,0,GallegosdeAltamiros,0
5,0,GallegosdeSobrinos,0
5,0,GargantadelVillar,0
5,0,Gavilanes,224
5,0,Gemuño,0
5,0,Gilbuena,0
5,0,GilGarcía,0
5,0,Gimialcón,0
5,0,Gotarrendura,189
5,0,GrandesySanMartín,0
5,0,Guisando,0
5,0,Gutierre-Muñoz,0
5,0,Hernansancho,0
5,0,HerradóndePinares,396
5,0,HerrerosdeSuso,0
5,0,HigueradelasDueñas,0
5,0,HijadeDios(La),0
5,0,Horcajada(La),0
5,0,HorcajodelasTorres,0
5,0,Hornillo(El),216
5,0,Hoyocasero,0
5,0,HoyodePinares(El),1.046
5,0,Hoyorredondo,0
5,0,HoyosdelCollado,0
5,0,HoyosdelEspino,0
5,0,HoyosdeMiguelMuñoz,0
5,0,Hurtumpascual,0
5,0,Junciana,0
5,0,Langa,0
5,0,Lanzahíta,491
5,0,LosardelBarco(El),0
5,0,LlanosdeTormes(Los),0
5,0,MadrigaldelasAltasTorres,0
5,0,Maello,0
5,0,MalpartidadeCorneja,0
5,0,Mamblas,0
5,0,ManceradeArriba,0
5,0,ManjabálagoyOrtigosadeRioalmar,0
5,0,Marlín,0
5,0,Martiherrero,0
5,0,Martínez,0
5,0,MedianadeVoltoya,0
5,0,Medinilla,0
5,0,Mengamuñoz,0
5,0,MesegardeCorneja,0
5,0,Mijares,4
5,0,Mingorría,0
5,0,Mirón(El),0
5,0,Mironcillo,0
5,0,MirueñadelosInfanzones,0
5,0,Mombeltrán,401
5,0,Monsalupe,0
5,0,MoralejadeMatacabras,8
5,0,Muñana,163
5,0,Muñico,0
5,0,Muñogalindo,0
5,0,Muñogrande,0
5,0,MuñomerdelPeco,0
5,0,Muñopepe,0
5,0,Muñosancho,0
5,0,Muñotello,0
5,0,NarrillosdelÁlamo,0
5,0,NarrillosdelRebollar,0
5,0,NarrosdelCastillo,0
5,0,NarrosdelPuerto,0
5,0,NarrosdeSaldueña,0
